task,tps,accuracy
puzzles-sudoku,1.0,9.2593
puzzles-sudoku,2.0,10.6481
puzzles-sudoku,4.0,6.9444
puzzles-sudoku,8.0,0.0
puzzles-sudoku,16.0,0.0
puzzles-sudoku,32.0,0.0
puzzles-sudoku,64.0,0.0
textwriting-paraphrasing,1.0,82.0
textwriting-paraphrasing,2.0,79.0
textwriting-paraphrasing,4.0,61.0
textwriting-paraphrasing,8.0,27.0
textwriting-paraphrasing,16.0,15.0
textwriting-paraphrasing,32.0,13.0
textwriting-paraphrasing,64.0,3.0
textwriting-summarization,1.0,88.0
textwriting-summarization,2.0,75.0
textwriting-summarization,4.0,57.0
textwriting-summarization,8.0,23.0
textwriting-summarization,16.0,12.0
textwriting-summarization,32.0,6.0
textwriting-summarization,64.0,6.0
textwriting-w2s_easy,1.0,90.0
textwriting-w2s_easy,2.0,77.0
textwriting-w2s_easy,4.0,57.0
textwriting-w2s_easy,8.0,26.0
textwriting-w2s_easy,16.0,10.0
textwriting-w2s_easy,32.0,9.0
textwriting-w2s_easy,64.0,1.0
textwriting-w2s_hard,1.0,82.0
textwriting-w2s_hard,2.0,67.0
textwriting-w2s_hard,4.0,24.0
textwriting-w2s_hard,8.0,2.0
textwriting-w2s_hard,16.0,8.0
textwriting-w2s_hard,32.0,5.0
textwriting-w2s_hard,64.0,8.0
textwriting-w2s_medium,1.0,88.0
textwriting-w2s_medium,2.0,80.0
textwriting-w2s_medium,4.0,50.0
textwriting-w2s_medium,8.0,9.0
textwriting-w2s_medium,16.0,4.0
textwriting-w2s_medium,32.0,3.0
textwriting-w2s_medium,64.0,1.0
waitingline-copy,1.0,90.0
waitingline-copy,2.0,90.0
waitingline-copy,4.0,90.0
waitingline-copy,8.0,90.0
waitingline-copy,16.0,90.0
waitingline-copy,32.0,70.0
waitingline-insert_index,1.0,70.0
waitingline-insert_index,2.0,67.0
waitingline-insert_index,4.0,67.0
waitingline-insert_index,8.0,58.0
waitingline-insert_index,16.0,28.0
waitingline-insert_index,32.0,0.0
waitingline-insert_random,1.0,66.0
waitingline-insert_random,2.0,56.0
waitingline-insert_random,4.0,38.0
waitingline-insert_random,8.0,21.0
waitingline-insert_random,16.0,7.0
waitingline-insert_random,32.0,0.0
waitingline-remove_index,1.0,82.0
waitingline-remove_index,2.0,83.0
waitingline-remove_index,4.0,81.0
waitingline-remove_index,8.0,65.0
waitingline-remove_index,16.0,50.0
waitingline-remove_index,32.0,13.0
waitingline-remove_random,1.0,67.0
waitingline-remove_random,2.0,64.0
waitingline-remove_random,4.0,46.0
waitingline-remove_random,8.0,18.0
waitingline-remove_random,16.0,9.0
waitingline-remove_random,32.0,0.0
waitingline-replace_index,1.0,70.0
waitingline-replace_index,2.0,70.0
waitingline-replace_index,4.0,70.0
waitingline-replace_index,8.0,68.0
waitingline-replace_index,16.0,45.0
waitingline-replace_index,32.0,8.0
waitingline-replace_random,1.0,90.0
waitingline-replace_random,2.0,86.0
waitingline-replace_random,4.0,62.0
waitingline-replace_random,8.0,34.0
waitingline-replace_random,16.0,31.0
waitingline-replace_random,32.0,0.0
waitingline-reverse,1.0,86.0
waitingline-reverse,2.0,85.0
waitingline-reverse,4.0,80.0
waitingline-reverse,8.0,74.0
waitingline-reverse,16.0,35.0
waitingline-reverse,32.0,5.0
waitingline-shuffle,1.0,61.0
waitingline-shuffle,2.0,39.0
waitingline-shuffle,4.0,6.0
waitingline-shuffle,8.0,1.0
waitingline-shuffle,16.0,1.0
waitingline-shuffle,32.0,0.0
waitingline-sort,1.0,31.0
waitingline-sort,2.0,29.0
waitingline-sort,4.0,16.0
waitingline-sort,8.0,7.0
waitingline-sort,16.0,4.0
waitingline-sort,32.0,2.0
avg,1.0,72.0162
avg,2.0,66.103
avg,4.0,50.7465
avg,8.0,32.6875
avg,16.0,21.8125
avg,32.0,8.375
