task,tps,accuracy
puzzles-latin_square,1.0,38.0
puzzles-latin_square,2.0,8.0
puzzles-latin_square,4.0,0.0
puzzles-latin_square,8.0,0.0
puzzles-latin_square,16.0,0.0
puzzles-latin_square,32.0,0.0
puzzles-latin_square,64.0,0.0
puzzles-sudoku,1.0,0.9259
puzzles-sudoku,2.0,0.463
puzzles-sudoku,4.0,0.0
puzzles-sudoku,8.0,0.0
puzzles-sudoku,16.0,0.0
puzzles-sudoku,32.0,0.0
puzzles-sudoku,64.0,0.0
textwriting-paraphrasing,1.0,99.0
textwriting-paraphrasing,2.0,67.0
textwriting-paraphrasing,4.0,39.0
textwriting-paraphrasing,8.0,14.0
textwriting-paraphrasing,16.0,7.0
textwriting-paraphrasing,32.0,6.0
textwriting-paraphrasing,64.0,6.0
textwriting-summarization,1.0,93.0
textwriting-summarization,2.0,44.0
textwriting-summarization,4.0,10.0
textwriting-summarization,8.0,10.0
textwriting-summarization,16.0,10.0
textwriting-summarization,32.0,8.0
textwriting-summarization,64.0,7.0
textwriting-w2s_easy,1.0,99.0
textwriting-w2s_easy,2.0,41.0
textwriting-w2s_easy,4.0,10.0
textwriting-w2s_easy,8.0,2.0
textwriting-w2s_easy,16.0,2.0
textwriting-w2s_easy,32.0,1.0
textwriting-w2s_easy,64.0,1.0
textwriting-w2s_hard,1.0,97.0
textwriting-w2s_hard,2.0,10.0
textwriting-w2s_hard,4.0,1.0
textwriting-w2s_hard,8.0,0.0
textwriting-w2s_hard,16.0,0.0
textwriting-w2s_hard,32.0,0.0
textwriting-w2s_hard,64.0,0.0
textwriting-w2s_medium,1.0,100.0
textwriting-w2s_medium,2.0,21.0
textwriting-w2s_medium,4.0,2.0
textwriting-w2s_medium,8.0,1.0
textwriting-w2s_medium,16.0,0.0
textwriting-w2s_medium,32.0,0.0
textwriting-w2s_medium,64.0,0.0
waitingline-copy,1.0,100.0
waitingline-copy,2.0,100.0
waitingline-copy,4.0,100.0
waitingline-copy,8.0,100.0
waitingline-copy,16.0,98.0
waitingline-copy,32.0,98.0
waitingline-insert_index,1.0,55.0
waitingline-insert_index,2.0,55.0
waitingline-insert_index,4.0,44.0
waitingline-insert_index,8.0,47.0
waitingline-insert_index,16.0,25.0
waitingline-insert_index,32.0,17.0
waitingline-insert_random,1.0,85.0
waitingline-insert_random,2.0,81.0
waitingline-insert_random,4.0,20.0
waitingline-insert_random,8.0,2.0
waitingline-insert_random,16.0,0.0
waitingline-insert_random,32.0,0.0
waitingline-remove_index,1.0,47.0
waitingline-remove_index,2.0,37.0
waitingline-remove_index,4.0,18.0
waitingline-remove_index,8.0,8.0
waitingline-remove_index,16.0,3.0
waitingline-remove_index,32.0,3.0
waitingline-remove_random,1.0,76.0
waitingline-remove_random,2.0,72.0
waitingline-remove_random,4.0,23.0
waitingline-remove_random,8.0,9.0
waitingline-remove_random,16.0,6.0
waitingline-remove_random,32.0,6.0
waitingline-replace_index,1.0,31.0
waitingline-replace_index,2.0,35.0
waitingline-replace_index,4.0,29.0
waitingline-replace_index,8.0,30.0
waitingline-replace_index,16.0,26.0
waitingline-replace_index,32.0,24.0
waitingline-replace_random,1.0,78.0
waitingline-replace_random,2.0,80.0
waitingline-replace_random,4.0,21.0
waitingline-replace_random,8.0,17.0
waitingline-replace_random,16.0,8.0
waitingline-replace_random,32.0,6.0
waitingline-reverse,1.0,98.0
waitingline-reverse,2.0,97.0
waitingline-reverse,4.0,87.0
waitingline-reverse,8.0,33.0
waitingline-reverse,16.0,22.0
waitingline-reverse,32.0,22.0
waitingline-shuffle,1.0,99.0
waitingline-shuffle,2.0,97.0
waitingline-shuffle,4.0,9.0
waitingline-shuffle,8.0,5.0
waitingline-shuffle,16.0,0.0
waitingline-shuffle,32.0,0.0
waitingline-sort,1.0,49.0
waitingline-sort,2.0,41.0
waitingline-sort,4.0,6.0
waitingline-sort,8.0,2.0
waitingline-sort,16.0,1.0
waitingline-sort,32.0,1.0
avg,1.0,73.2309
avg,2.0,52.1449
avg,4.0,24.6471
avg,8.0,16.4706
avg,16.0,12.2353
avg,32.0,11.2941
